tweet_id,username,name,creation_date,text,location
1698381319842197865,james__oconnor,James O'Connor,Sun Sep 03 17:03:55 +0000 2023,"Inevitable questions over the need for the 2-week-plus #Yellowknife #wildfire evacuation have started, as blazes were stopped by good luck and great firefighting some 15-plus kms away. Massive firebreaks were built at western city borders, should fire have travelled further. City…","Yellowknife, NT"
1698319493641261148,JDignum,WrathofJan 🌞🌻🌎🖖,Sun Sep 03 12:58:15 +0000 2023,"N.W.T. officials say start planning now for lifting of Yellowknife evacuation order - The Canadian Press 
     https://t.co/ptoMD2wBpN",Helllberta via Xstan😱 
1698381006187741655,ctvottawa,CTV Ottawa,Sun Sep 03 17:02:40 +0000 2023,"Timm Bruch reports on the evacuation orders in Yellowknife being lifted, allowing residents to return to their homes. WATCH HERE: https://t.co/DUQX9FH1M1 https://t.co/8HCpUzJYEk","Ottawa, Ontario"
1698146372480831751,ctvsaskatoon,CTV Saskatoon,Sun Sep 03 01:30:19 +0000 2023,N.W.T. officials to share details about lifting of Yellowknife evacuation order  https://t.co/l4qRHdLL0o,"Saskatoon, SK"
1698527474731147554,hamodah_rana,Rana Hamodah,Mon Sep 04 02:44:41 +0000 2023,N.W.T. officials say start planning now for lifting of Yellowknife evacuation order https://t.co/Sx3RKYpZbD https://t.co/EAWFe2ce5U,"Calgary, Alberta"
1698765806996492332,dobsonian99,Ian Dobson,Mon Sep 04 18:31:44 +0000 2023,"Average ""fast-charging"" times are still well over 20 minutes for a compact car. Imagine the carnage that would have occurred this year if EVs were the only option for fire evacuations, to say nothing of the strain on the electric grid?! #EVs #Yellowknife #Canada #climatescam https://t.co/QvgF3ucnYc",
1698623529535852614,connie_jac86634,Connie Jacobson,Mon Sep 04 09:06:22 +0000 2023,"Recently, firefighting efforts have halted the spread of a wildfire near Yellowknife, but N.W.T. officials said that the city is still not ready for evacuees to return. But Katrina Norkby, an NWT MLA for Great Slave decide to return to Yelowknife despite the evacuation order. https://t.co/KVjOgrca2d",Canada
1698516371187859662,ctvedmonton,CTV Edmonton,Mon Sep 04 02:00:34 +0000 2023,"Timm Bruch reports on the evacuation orders in Yellowknife being lifted, allowing residents to return to their homes. WATCH HERE: https://t.co/2sCYKkVc6f https://t.co/ZuX2aYxigh","Edmonton, Alberta, Canada"
1698729658303254951,gnflearning,Andrew Tate,Mon Sep 04 16:08:06 +0000 2023,"Canada Wildfire Forces Citywide Evacuation of Yellowknife 
As a wildfire barreled toward a territo... https://t.co/SXAOaP4vYE
https://t.co/SXAOaP4vYE",
1698729660345950225,rafay9548,Andrew Tate,Mon Sep 04 16:08:06 +0000 2023,"Canada Wildfire Forces Citywide Evacuation of Yellowknife 
As a wildfire barreled toward a territo... https://t.co/dbq7IdS9tK
https://t.co/dbq7IdS9tK",
